Games,Gold,Silver,Bronze
1976,Soviet,East,Hungary
1980,Soviet,Yugoslavia,East
1984,Yugoslavia,South,China
1988,South,Norway,Soviet
1992,South,Norway,Unified
1996,Denmark,South,Hungary
2000,Denmark,Hungary,Norway
2004,Denmark,South,Ukraine
2008,Norway,Russia,South
2012,Norway,Montenegro,Spain
2016,Russia,France,Norway
2020,France,ROCAnna,Norway
2024,,,
